"wind_kph","Continent","month_name"
9,"Europe","August"
29.9,"America","August"
11.2,"Asia","August"
3.6,"Asia","August"
22,"Asia","August"
19.1,"Africa","August"
10.1,"Pacific","August"
12.2,"Asia","August"
3.6,"Asia","August"
7.9,"Asia","August"
6.8,"Europe","August"
6.8,"Asia","August"
5.8,"Africa","August"
6.8,"Africa","August"
3.6,"Asia","August"
3.6,"Europe","August"
15.1,"Europe","August"
3.6,"Europe","August"
20.2,"Indian","August"
12.2,"Africa","August"
3.6,"Asia","August"
17.6,"Indian","August"
3.6,"Africa","August"
11.2,"Europe","August"
22,"Pacific","August"
17.6,"Africa","August"
13,"Indian","August"
19.1,"America","August"
11.2,"Pacific","August"
15.1,"Asia","August"
22,"Europe","August"
3.6,"Asia","August"
13,"Europe","August"
9,"Africa","August"
6.8,"Africa","August"
8.6,"Asia","August"
19.1,"Africa","August"
3.6,"Europe","August"
3.6,"Asia","August"
13,"Europe","August"
33.1,"Pacific","August"
3.6,"America","August"
19.1,"Africa","August"
11.2,"Africa","August"
7.9,"Asia","August"
3.6,"Europe","August"
13,"Europe","August"
6.8,"Asia","August"
7.6,"Asia","August"
15.1,"Pacific","August"
3.6,"America","August"
6.8,"America","August"
19.1,"Pacific","August"
6.5,"America","August"
16.6,"America","August"
25.9,"Asia","August"
13,"Europe","August"
11.2,"Europe","August"
15.1,"Asia","August"
6.8,"Europe","August"
11.2,"Europe","August"
9,"Africa","August"
20.2,"America","August"
9,"America","August"
31,"America","August"
9,"Pacific","August"
9,"Europe","August"
6.8,"Europe","August"
11.2,"Asia","August"
27.7,"Africa","August"
6.1,"Europe","August"
19.1,"Indian","August"
13.3,"Africa","August"
6.1,"Asia","August"
24.1,"Europe","August"
3.6,"Europe","August"
4.3,"Pacific","August"
27.4,"Africa","August"
11.2,"Africa","August"
6.1,"Asia","August"
13.7,"Africa","August"
6.8,"Europe","August"
11.2,"Asia","August"
48.2,"Africa","August"
6.8,"America","August"
3.6,"Europe","August"
6.8,"Europe","August"
29.9,"Asia","August"
3.6,"Asia","August"
15.1,"Africa","August"
6.8,"Asia","August"
3.6,"Asia","August"
5.8,"Europe","August"
28.1,"Pacific","August"
3.6,"America","August"
6.1,"Africa","August"
3.6,"Europe","August"
19.1,"Asia","August"
22.3,"Pacific","August"
6.1,"Africa","August"
3.6,"Europe","August"
6.8,"Asia","August"
9,"Europe","August"
11.2,"America","August"
11.2,"America","August"
4,"Asia","August"
20.2,"Pacific","August"
9,"America","August"
15.1,"Asia","August"
4,"Asia","August"
17.3,"Africa","August"
13.7,"Africa","August"
3.6,"Asia","August"
3.6,"Europe","August"
4,"Africa","August"
3.6,"Europe","August"
6.8,"Africa","August"
15.1,"America","August"
3.6,"America","August"
9,"Asia","August"
6.8,"Australia","August"
13,"Europe","August"
12.6,"Asia","August"
13,"America","August"
13,"Asia","August"
4,"Asia","August"
24.1,"America","August"
15.1,"Europe","August"
13,"Europe","August"
6.1,"America","August"
19.1,"Africa","August"
3.6,"Asia","August"
9.4,"America","August"
3.6,"Europe","August"
15.1,"Africa","August"
4.7,"America","August"
6.8,"Asia","August"
3.6,"Europe","August"
17.6,"Africa","August"
3.6,"Africa","August"
7.6,"Indian","August"
15.1,"Atlantic","August"
3.6,"Asia","August"
5.4,"Africa","August"
28.1,"America","August"
3.6,"Africa","August"
6.1,"Africa","August"
13,"America","August"
6.8,"Asia","August"
4.3,"Europe","August"
11.9,"Indian","August"
10.8,"Africa","August"
9,"America","August"
9,"Europe","August"
16.9,"America","August"
3.6,"Asia","August"
15.1,"Europe","August"
10.1,"Africa","August"
4,"Europe","August"
13,"Africa","August"
4,"America","August"
9,"America","August"
8.3,"America","August"
9,"Africa","August"
6.8,"America","August"
14.4,"Africa","August"
6.5,"Africa","August"
6.8,"Europe","August"
5,"Africa","August"
9,"Africa","August"
20.2,"Pacific","August"
6.8,"Europe","August"
3.6,"Europe","August"
15.1,"Africa","August"
3.6,"Africa","August"
3.6,"Asia","August"
6.8,"Europe","August"
15.1,"Africa","August"
3.6,"Europe","August"
20.2,"America","August"
11.2,"America","August"
3.6,"Africa","August"
3.6,"Africa","August"
6.8,"America","August"
3.6,"America","August"
9,"Europe","August"
6.1,"America","August"
6.8,"Europe","August"
19.1,"Atlantic","August"
3.6,"Asia","August"
6.1,"Asia","August"
19.1,"Asia","August"
4,"Asia","August"
6.1,"Europe","August"
3.6,"Asia","August"
9,"Europe","August"
31,"America","August"
13,"Asia","August"
3.6,"Asia","August"
25.9,"Asia","August"
6.8,"Africa","August"
15.5,"Pacific","August"
19.1,"Asia","August"
9.4,"Asia","August"
4.3,"Asia","August"
6.8,"Europe","August"
6.8,"Asia","August"
3.6,"Africa","August"
3.6,"Africa","August"
4,"Asia","August"
3.6,"Europe","August"
16.9,"Europe","August"
13,"Europe","August"
20.2,"Indian","August"
11.2,"Africa","August"
3.6,"Asia","August"
32.4,"Indian","August"
4,"Africa","August"
13,"Europe","August"
9,"Pacific","August"
30.6,"Africa","August"
15.1,"Indian","August"
37.1,"America","August"
6.1,"Pacific","August"
6.5,"Asia","August"
13,"Europe","August"
3.6,"Asia","August"
11.2,"Europe","August"
3.6,"Africa","August"
6.1,"Africa","August"
5.8,"Asia","August"
6.8,"Africa","August"
6.8,"Europe","August"
3.6,"Asia","August"
15.1,"Europe","August"
37.1,"Pacific","August"
11.2,"America","August"
15.1,"Africa","August"
4,"Africa","August"
3.6,"Asia","August"
6.1,"Europe","August"
22,"Europe","August"
3.6,"Asia","August"
10.1,"Asia","August"
9,"Pacific","August"
3.6,"America","August"
28.1,"America","August"
28.1,"Pacific","August"
4,"America","August"
17.6,"America","August"
3.6,"Asia","August"
11.2,"Europe","August"
22,"Europe","August"
6.8,"Asia","August"
6.1,"Europe","August"
6.8,"Europe","August"
6.8,"Africa","August"
19.1,"America","August"
13,"America","August"
25.6,"America","August"
11.2,"Pacific","August"
3.6,"Europe","August"
9,"Europe","August"
6.1,"Asia","August"
25.9,"Africa","August"
11.2,"Europe","August"
16.9,"Indian","August"
6.8,"Africa","August"
6.8,"Asia","August"
6.8,"Europe","August"
6.1,"Europe","August"
3.6,"Pacific","August"
20.9,"Africa","August"
9,"Africa","August"
4,"Asia","August"
10.1,"Africa","August"
3.6,"Europe","August"
15.1,"Asia","August"
27.4,"Africa","August"
15.1,"America","August"
6.8,"Europe","August"
3.6,"Europe","August"
16.9,"Asia","August"
11.2,"Asia","August"
14.8,"Africa","August"
6.1,"Asia","August"
9.4,"Asia","August"
7.9,"Europe","August"
25.9,"Pacific","August"
6.8,"America","August"
3.6,"Africa","August"
3.6,"Europe","August"
4,"Asia","August"
11.2,"Pacific","August"
6.8,"Africa","August"
9.7,"Europe","August"
3.6,"Asia","August"
3.6,"Europe","August"
24.1,"America","August"
6.1,"America","August"
6.8,"Asia","August"
9,"Pacific","August"
4,"America","August"
6.1,"Asia","August"
6.1,"Asia","August"
9.4,"Africa","August"
11.2,"Africa","August"
3.6,"Asia","September"
6.1,"Europe","September"
6.8,"Africa","September"
3.6,"Europe","September"
3.6,"Africa","September"
13,"America","August"
13,"America","August"
9,"Asia","September"
24.1,"Australia","September"
6.8,"Europe","September"
6.8,"Asia","September"
11.2,"America","August"
20.2,"Asia","September"
11.2,"Asia","September"
20.2,"America","August"
6.8,"Europe","September"
6.8,"Europe","September"
6.1,"America","August"
9,"Africa","September"
3.6,"Asia","September"
3.6,"America","August"
6.1,"Europe","September"
9,"Africa","September"
4,"America","August"
6.8,"Asia","September"
3.6,"Europe","September"
10.8,"Africa","August"
3.6,"Africa","September"
10.4,"Indian","September"
22,"Atlantic","August"
4,"Asia","September"
5,"Africa","September"
9,"America","August"
4,"Africa","September"
6.1,"Africa","September"
3.6,"America","August"
6.8,"Asia","September"
13.3,"Europe","September"
6.8,"Indian","September"
10.4,"Africa","September"
6.8,"America","August"
3.6,"Europe","September"
6.8,"America","August"
16.9,"Asia","September"
15.1,"Europe","September"
10.1,"Africa","September"
6.8,"Europe","September"
6.1,"Africa","September"
13,"America","August"
11.2,"America","August"
3.6,"America","August"
11.2,"Africa","September"
9,"America","August"
8.3,"Africa","September"
4.7,"Africa","September"
6.8,"Europe","September"
9.7,"Africa","September"
3.6,"Africa","September"
20.2,"Pacific","September"
6.8,"Europe","September"
9,"Europe","September"
9.7,"Africa","September"
3.6,"Africa","August"
3.6,"Asia","September"
16.9,"Europe","September"
16.9,"Africa","August"
9,"Europe","September"
20.2,"America","August"
3.6,"America","August"
19.1,"Africa","August"
3.6,"Africa","August"
3.6,"America","August"
29.9,"America","August"
6.8,"Europe","September"
6.8,"America","August"
9,"Europe","September"
19.1,"Atlantic","August"
6.8,"Asia","September"
6.1,"Asia","September"
6.8,"Asia","September"
6.1,"Asia","September"
3.6,"Europe","September"
6.8,"Asia","September"
6.8,"Europe","September"
38.9,"America","August"
9,"Asia","September"
4,"Asia","September"
22,"Asia","September"
9,"Africa","September"
20.5,"Pacific","September"
18,"Asia","September"
4.3,"Asia","September"
4.3,"Asia","September"
11.2,"Europe","September"
6.1,"Asia","September"
8.3,"Africa","September"
3.6,"Africa","August"
3.6,"Asia","September"
3.6,"Europe","September"
13,"Europe","September"
9,"Europe","September"
13,"Indian","September"
4.7,"Africa","September"
3.6,"Asia","September"
30.2,"Indian","September"
4,"Africa","August"
9,"Europe","September"
11.2,"Pacific","September"
21.2,"Africa","August"
9,"Indian","September"
15.1,"America","August"
9,"Pacific","September"
4,"Asia","September"
13,"Europe","September"
3.6,"Asia","September"
4,"Europe","September"
6.1,"Africa","September"
11.2,"Africa","September"
6.1,"Asia","September"
6.8,"Africa","September"
3.6,"Europe","September"
3.6,"Asia","September"
6.1,"Europe","September"
37.1,"Pacific","September"
11.2,"America","August"
6.1,"Africa","September"
3.6,"Africa","September"
4.7,"Asia","September"
3.6,"Europe","September"
29.9,"Europe","September"
6.8,"Asia","September"
4.3,"Asia","September"
13,"Pacific","September"
5.8,"America","August"
11.2,"America","August"
16.9,"Pacific","September"
9.7,"America","August"
14.8,"America","August"
20.2,"Asia","September"
6.8,"Europe","September"
19.1,"Europe","September"
15.1,"Asia","September"
3.6,"Europe","September"
15.1,"Europe","September"
6.1,"Africa","September"
20.2,"America","August"
19.1,"America","August"
23.4,"America","August"
9,"Pacific","September"
4,"Europe","September"
9,"Europe","September"
4,"Asia","September"
22,"Africa","August"
13,"Europe","September"
27.4,"Indian","September"
11.5,"Africa","August"
6.8,"Asia","September"
3.6,"Europe","September"
4,"Europe","September"
4,"Pacific","September"
27.7,"Africa","September"
3.6,"Africa","September"
3.6,"Asia","September"
6.1,"Africa","September"
3.6,"Europe","September"
9,"Asia","September"
18,"Africa","September"
6.8,"America","August"
3.6,"Europe","September"
11.2,"Europe","September"
6.8,"Asia","September"
3.6,"Asia","September"
16.6,"Africa","September"
9,"Asia","September"
11.9,"Asia","September"
12.6,"Europe","September"
22,"Pacific","September"
6.1,"America","August"
3.6,"Africa","September"
15.1,"Europe","September"
11.2,"Asia","September"
15.1,"Pacific","September"
15.1,"Africa","September"
10.1,"Europe","September"
6.1,"Asia","September"
6.8,"Europe","September"
15.1,"America","August"
13,"America","August"
6.8,"Asia","September"
13,"Pacific","September"
4,"America","August"
6.8,"Asia","September"
3.6,"Asia","September"
9,"Africa","September"
5,"Africa","September"
3.6,"Asia","September"
3.6,"Europe","September"
3.6,"Africa","September"
5.4,"Europe","September"
3.6,"Africa","September"
11.2,"America","September"
3.6,"America","September"
6.1,"Asia","September"
9,"Australia","September"
6.8,"Europe","September"
6.8,"Asia","September"
13,"America","September"
9,"Asia","September"
7.2,"Asia","September"
16.9,"America","September"
3.6,"Europe","September"
9,"Europe","September"
13,"America","September"
24.1,"Africa","September"
3.6,"Asia","September"
18.7,"America","September"
3.6,"Europe","September"
4,"Africa","September"
3.6,"America","September"
6.8,"Asia","September"
6.1,"Europe","September"
6.8,"Africa","September"
3.6,"Africa","September"
6.8,"Indian","September"
15.1,"Atlantic","September"
15.1,"Asia","September"
4,"Africa","September"
6.8,"America","September"
3.6,"Africa","September"
12.6,"Africa","September"
9,"America","September"
3.6,"Asia","September"
5,"Europe","September"
4.3,"Indian","September"
15.1,"Africa","September"
3.6,"America","September"
3.6,"Europe","September"
15.1,"America","September"
19.1,"Asia","September"
13,"Europe","September"
15.1,"Africa","September"
11.2,"Europe","September"
5.8,"Africa","September"
4,"America","September"
6.8,"America","September"
4.3,"America","September"
16.9,"Africa","September"
15.1,"America","September"
15.1,"Africa","September"
3.6,"Africa","September"
11.2,"Europe","September"
4.7,"Africa","September"
4,"Africa","September"
22,"Pacific","September"
6.8,"Europe","September"
6.1,"Europe","September"
13,"Africa","September"
3.6,"Africa","September"
13,"Asia","September"
4,"Europe","September"
20.2,"Africa","September"
9,"Europe","September"
19.1,"America","September"
11.2,"America","September"
3.6,"Africa","September"
3.6,"Africa","September"
11.2,"America","September"
9,"America","September"
3.6,"Europe","September"
25.9,"America","September"
3.6,"Europe","September"
70.6,"Atlantic","September"
12.6,"Asia","September"
6.8,"Asia","September"
6.8,"Asia","September"
3.6,"Asia","September"
11.2,"Europe","September"
3.6,"Asia","September"
3.6,"Europe","September"
37.1,"America","September"
19.1,"Asia","September"
3.6,"Asia","September"
6.8,"Asia","September"
9,"Africa","September"
22,"Pacific","September"
22.7,"Asia","September"
4.3,"Asia","September"
3.6,"Asia","September"
20.2,"Europe","September"
11.2,"Asia","September"
6.1,"Africa","September"
3.6,"Africa","September"
6.8,"Asia","September"
4,"Europe","September"
16.9,"Europe","September"
6.1,"Europe","September"
13,"Indian","September"
4.3,"Africa","September"
3.6,"Asia","September"
25.6,"Indian","September"
3.6,"Africa","September"
6.8,"Europe","September"
13,"Pacific","September"
29.9,"Africa","September"
19.1,"Indian","September"
22,"America","September"
6.1,"Pacific","September"
8.6,"Asia","September"
11.2,"Europe","September"
3.6,"Asia","September"
9,"Europe","September"
13,"Africa","September"
16.9,"Africa","September"
6.1,"Asia","September"
6.1,"Africa","September"
9,"Europe","September"
6.1,"Asia","September"
9,"Europe","September"
4,"Pacific","September"
15.1,"America","September"
11.2,"Africa","September"
9,"Africa","September"
3.6,"Asia","September"
3.6,"Europe","September"
15.1,"Europe","September"
11.2,"Asia","September"
8.6,"Asia","September"
13,"Pacific","September"
4,"America","September"
13,"America","September"
19.1,"Pacific","September"
9.4,"America","September"
15.5,"America","September"
13,"Asia","September"
6.1,"Europe","September"
11.2,"Europe","September"
9,"Asia","September"
4,"Europe","September"
11.2,"Europe","September"
28.1,"Africa","September"
13,"America","September"
6.8,"America","September"
24.8,"America","September"
16.9,"Pacific","September"
4,"Europe","September"
3.6,"Europe","September"
4,"Asia","September"
15.1,"Africa","September"
6.1,"Europe","September"
24.1,"Indian","September"
11.2,"Africa","September"
3.6,"Asia","September"
6.1,"Europe","September"
3.6,"Europe","September"
10.8,"Pacific","September"
31.7,"Africa","September"
9,"Africa","September"
