country,last_updated,uv_index,Continent,month_name,year_name
Montenegro,29/08/2023 11:45,5,Europe,August,2023
Morocco,29/08/2023 10:30,6,Africa,August,2023
Mozambique,29/08/2023 11:45,5,Africa,August,2023
Myanmar,29/08/2023 16:15,8,Asia,August,2023
Namibia,29/08/2023 11:45,7,Africa,August,2023
Turkey,29/08/2023 12:45,8,Europe,August,2023
Nepal,29/08/2023 15:30,5,Asia,August,2023
Netherlands,29/08/2023 11:30,5,Europe,August,2023
New Zealand,29/08/2023 21:30,1,Pacific,August,2023
Nicaragua,29/08/2023 03:45,1,America,August,2023
Niger,29/08/2023 10:45,8,Africa,August,2023
Nigeria,29/08/2023 10:45,6,Africa,August,2023
North Korea,29/08/2023 18:45,5,Asia,August,2023
Macedonia,29/08/2023 11:30,8,Europe,August,2023
Norway,29/08/2023 11:30,4,Europe,August,2023
Oman,29/08/2023 13:45,8,Asia,August,2023
Pakistan,29/08/2023 14:45,8,Asia,August,2023
Palau,29/08/2023 18:45,1,Pacific,August,2023
Bolivia,29/08/2023 05:45,1,America,August,2023
Panama,29/08/2023 04:30,1,America,August,2023
Papua New Guinea,29/08/2023 19:45,1,Pacific,August,2023
Paraguay,29/08/2023 05:45,1,America,August,2023
Peru,29/08/2023 04:30,1,America,August,2023
Philippines,29/08/2023 17:45,6,Asia,August,2023
Poland,29/08/2023 11:45,7,Europe,August,2023
Portugal,29/08/2023 10:30,6,Europe,August,2023
Qatar,29/08/2023 12:45,9,Asia,August,2023
Romania,29/08/2023 12:30,9,Europe,August,2023
Russia,29/08/2023 12:30,3,Europe,August,2023
Rwanda,29/08/2023 11:45,7,Africa,August,2023
Saint Kitts and Nevis,29/08/2023 05:45,1,America,August,2023
Saint Lucia,29/08/2023 05:45,1,America,August,2023
Saint Vincent and the Grenadines,29/08/2023 05:45,1,America,August,2023
Samoa,29/08/2023 22:45,1,Pacific,August,2023
San Marino,29/08/2023 11:45,6,Europe,August,2023
Belgium,29/08/2023 11:45,5,Europe,August,2023
Saudi Arabia,29/08/2023 12:30,10,Asia,August,2023
Senegal,29/08/2023 09:45,6,Africa,August,2023
Serbia,29/08/2023 11:30,5,Europe,August,2023
Seychelles Islands,29/08/2023 13:30,6,Indian,August,2023
Sierra Leone,29/08/2023 09:45,6,Africa,August,2023
Singapore,29/08/2023 17:30,6,Asia,August,2023
Slovakia,29/08/2023 11:30,4,Europe,August,2023
Slovenia,29/08/2023 11:30,4,Europe,August,2023
Solomon Islands,29/08/2023 20:45,1,Pacific,August,2023
Somalia,29/08/2023 12:45,7,Africa,August,2023
South Africa,29/08/2023 11:45,5,Africa,August,2023
South Korea,29/08/2023 18:30,1,Asia,August,2023
Sudan,29/08/2023 11:45,8,Africa,August,2023
Spain,29/08/2023 11:45,6,Europe,August,2023
Sri Lanka,29/08/2023 15:15,6,Asia,August,2023
Sudan,29/08/2023 11:45,8,Africa,August,2023
Suriname,29/08/2023 06:45,1,America,August,2023
Sweden,29/08/2023 11:45,5,Europe,August,2023
Switzerland,29/08/2023 11:30,4,Europe,August,2023
Syria,29/08/2023 12:45,8,Asia,August,2023
Tajikistan,29/08/2023 14:30,8,Asia,August,2023
Tanzania,29/08/2023 12:30,6,Africa,August,2023
Thailand,29/08/2023 16:45,7,Asia,August,2023
Indonesia,29/08/2023 16:45,8,Asia,August,2023
Bulgaria,29/08/2023 12:45,8,Europe,August,2023
Tonga,29/08/2023 22:45,1,Pacific,August,2023
Trinidad and Tobago,29/08/2023 05:30,1,America,August,2023
Tunisia,29/08/2023 10:45,7,Africa,August,2023
Turkey,29/08/2023 12:45,7,Europe,August,2023
Turkmenistan,29/08/2023 14:45,8,Asia,August,2023
Tuvalu,29/08/2023 21:45,1,Pacific,August,2023
Uganda,29/08/2023 12:45,6,Africa,August,2023
Ukraine,29/08/2023 12:30,7,Europe,August,2023
